ERR793600.742976	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG0006 peptidase M24;
ERR793600.668246	eggNOG;metabolism;[C] Energy production and conversion;COG1007 NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity);
ERR793600.780472	eggNOG;metabolism;[C] Energy production and conversion;COG1008 subunit m;
ERR793600.463955	eggNOG;metabolism;[C] Energy production and conversion;COG1009 subunit l;
ERR793600.463955	eggNOG;metabolism;[C] Energy production and conversion;COG1009 subunit l;
ERR793600.239291	eggNOG;metabolism;[C] Energy production and conversion;COG1012 Dehydrogenase;
ERR793600.689597	eggNOG;metabolism;[C] Energy production and conversion;COG1012 Dehydrogenase;
ERR793600.985229	eggNOG;metabolism;[C] Energy production and conversion;COG1012 Dehydrogenase;
ERR793600.1377282	eggNOG;metabolism;[C] Energy production and conversion;COG1012 Dehydrogenase;
ERR793600.677776	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG1020 non-ribosomal peptide synthetase;
ERR793600.677776	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG1020 non-ribosomal peptide synthetase;
ERR793600.706507	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG1020 non-ribosomal peptide synthetase;
ERR793600.889193	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1022 Amp-dependent synthetase and ligase;
ERR793600.163553	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1044 Catalyzes the N-acylation of UDP-3-O-acylglucosamine using 3-hydroxyacyl-ACP as the acyl donor. Is involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity);
ERR793600.1206651	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG1045 serine acetyltransferase;
ERR793600.1234487	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG1051 NUDiX hydrolase;
ERR793600.724631	eggNOG;metabolism;[C] Energy production and conversion;COG1053 Succinate DeHydrogenase;
ERR793600.724631	eggNOG;metabolism;[C] Energy production and conversion;COG1053 Succinate DeHydrogenase;
ERR793600.348015	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG1057 Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD) (By similarity);
ERR793600.236798	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG1063 Dehydrogenase;
ERR793600.236798	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG1063 Dehydrogenase;
ERR793600.1414246	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG1063 Dehydrogenase;
ERR793600.1542123	eggNOG;metabolism;[C] Energy production and conversion;COG1071 Dehydrogenase;
ERR793600.624661	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG1082 Xylose isomerase domain protein TIM barrel;
ERR793600.624661	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG1082 Xylose isomerase domain protein TIM barrel;
ERR793600.1581183	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1088 dTDP-glucose 4-6-dehydratase;
ERR793600.1581183	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1088 dTDP-glucose 4-6-dehydratase;
ERR793600.1193473	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1116 (ABC) transporter;
ERR793600.1176746	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1116 (ABC) transporter;
ERR793600.853826	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1121 (ABC) transporter;
ERR793600.1069665	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG1126 ABC transporter, (ATP-binding protein);
ERR793600.370975	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG1132 (ABC) transporter;
ERR793600.1451425	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG1132 (ABC) transporter;
ERR793600.197249	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG1132 (ABC) transporter;
ERR793600.370975	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG1132 (ABC) transporter;
ERR793600.790252	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG1132 (ABC) transporter;
ERR793600.1181931	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG1132 (ABC) transporter;
ERR793600.1521069	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1133 transport protein;
ERR793600.1389155	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1134 (ABC) transporter;
ERR793600.1389155	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG1134 (ABC) transporter;
ERR793600.1389155	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1134 (ABC) transporter;
ERR793600.1389155	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG1134 (ABC) transporter;
ERR793600.609880	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG1136 (ABC) transporter;
ERR793600.642372	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG1136 (ABC) transporter;
ERR793600.1463481	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG1138 cytochrome c-type biogenesis protein;
ERR793600.1105655	eggNOG;metabolism;[C] Energy production and conversion;COG1140 nitrate reductase beta subunit;
ERR793600.1232563	eggNOG;metabolism;[C] Energy production and conversion;COG1145 4Fe-4S ferredoxin, iron-sulfur binding;
ERR793600.1038529	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG1154 Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP) (By similarity);
ERR793600.1206588	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG1172 (ABC) transporter;
ERR793600.176462	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1175 binding-protein-dependent transport systems inner membrane Component;
ERR793600.510867	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1175 binding-protein-dependent transport systems inner membrane Component;
ERR793600.1130795	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1175 binding-protein-dependent transport systems inner membrane Component;
ERR793600.176462	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1175 binding-protein-dependent transport systems inner membrane Component;
ERR793600.782754	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1181 cell wall formation (By similarity);
ERR793600.62032	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1198 Primosomal protein n';
ERR793600.62032	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1198 Primosomal protein n';
ERR793600.1344019	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1199 helicase;
ERR793600.1344019	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1199 helicase;
ERR793600.71256	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1201 purine NTP-dependent helicase activity;
ERR793600.1061353	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1204 helicase;
ERR793600.313106	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1215 Glycosyl transferase, family 2;
ERR793600.1302044	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG1217 gtp-binding protein typa;
ERR793600.1302044	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG1217 gtp-binding protein typa;
ERR793600.164276	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG1222 26S protease regulatory subunit;
ERR793600.1024035	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG1222 26S protease regulatory subunit;
ERR793600.1024035	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG1222 26S protease regulatory subunit;
ERR793600.1552139	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1226 PotAssium voltage-gated channel;
ERR793600.1009087	eggNOG;metabolism;[C] Energy production and conversion;COG1227 Manganese-dependent inorganic pyrophosphatase;
ERR793600.522980	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG1231 L-amino-acid oxidase activity;
ERR793600.1562359	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG1232 protoporphyrinogen oxidase;
ERR793600.992086	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG1236 cleavage and polyadenylation;
ERR793600.614831	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG1236 cleavage and polyadenylation;
ERR793600.692916	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1241 dna replication licensing factor;
ERR793600.692916	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1241 dna replication licensing factor;
ERR793600.801163	eggNOG;metabolism;[C] Energy production and conversion;COG1249 dihydrolipoyl dehydrogenase;
ERR793600.801163	eggNOG;metabolism;[C] Energy production and conversion;COG1249 dihydrolipoyl dehydrogenase;
ERR793600.17691	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1250 Dehydrogenase;
ERR793600.1279603	eggNOG;metabolism;[C] Energy production and conversion;COG1251 nitrite reductase;
ERR793600.213266	eggNOG;metabolism;[C] Energy production and conversion;COG1252 Nadh dehydrogenase;
ERR793600.1278512	eggNOG;metabolism;[C] Energy production and conversion;COG1252 Nadh dehydrogenase;
ERR793600.475401	eggNOG;metabolism;[C] Energy production and conversion;COG1252 Nadh dehydrogenase;
ERR793600.1406813	eggNOG;cellularProcessesAndSignaling;[N] Cell motility;COG1256 ciliary or bacterial-type flagellar motility;
ERR793600.1406813	eggNOG;cellularProcessesAndSignaling;[N] Cell motility;COG1256 ciliary or bacterial-type flagellar motility;
ERR793600.761870	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG1264 pts system;
ERR793600.515356	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG1270 Converts cobyric acid to cobinamide by the addition of aminopropanol on the F carboxylic group (By similarity);
ERR793600.537786	eggNOG;metabolism;[C] Energy production and conversion;COG1290 Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis (By similarity);
ERR793600.1420782	eggNOG;metabolism;[C] Energy production and conversion;COG1294 oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor;
ERR793600.1420782	eggNOG;metabolism;[C] Energy production and conversion;COG1294 oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor;
ERR793600.87780	eggNOG;cellularProcessesAndSignaling;[N] Cell motility;COG1298 Flagellar biosynthesis protein flha;
ERR793600.1258663	eggNOG;cellularProcessesAndSignaling;[N] Cell motility;COG1298 Flagellar biosynthesis protein flha;
ERR793600.475519	eggNOG;metabolism;[C] Energy production and conversion;COG1304 Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its allylic isomer, dimethylallyl diphosphate (DMAPP) (By similarity);
ERR793600.593690	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1368 Sulfatase;
ERR793600.574171	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG1391 Adenylation and deadenylation of glutamate--ammonia ligase (By similarity);
ERR793600.574171	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG1391 Adenylation and deadenylation of glutamate--ammonia ligase (By similarity);
ERR793600.1499220	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG1404 peptidase (S8 and S53, subtilisin, kexin, sedolisin;
ERR793600.1184758	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG1404 peptidase (S8 and S53, subtilisin, kexin, sedolisin;
ERR793600.1499220	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG1404 peptidase (S8 and S53, subtilisin, kexin, sedolisin;
ERR793600.597057	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG1429 cobaltochelatase, cobn subunit;
ERR793600.597057	eggNOG;metabolism;[H] Coenzyme transport and metabolism;COG1429 cobaltochelatase, cobn subunit;
ERR793600.1231013	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1443 Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its highly electrophilic allylic isomer, dimethylallyl diphosphate (DMAPP) (By similarity);
ERR793600.292252	eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG1459 Type ii secretion system;
ERR793600.1117965	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1502 Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol (By similarity);
ERR793600.401614	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1502 Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol (By similarity);
ERR793600.1117965	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1502 Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol (By similarity);
ERR793600.122107	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG1505 prolyl oligopeptidase;
ERR793600.654905	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG1506 peptidase s9 prolyl oligopeptidase active site domain protein;
ERR793600.1544400	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1519 3-Deoxy-D-manno-octulosonic-acid transferase;
ERR793600.17133	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1522 transcriptional regulator AsnC family;
ERR793600.17133	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1522 transcriptional regulator AsnC family;
ERR793600.770322	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1522 transcriptional regulator AsnC family;
ERR793600.787392	eggNOG;metabolism;[C] Energy production and conversion;COG1527 ATP synthase, subunit;
ERR793600.417289	eggNOG;metabolism;[C] Energy production and conversion;COG1529 Aldehyde oxidase and xanthine dehydrogenase, molybdopterin binding;
ERR793600.417289	eggNOG;metabolism;[C] Energy production and conversion;COG1529 Aldehyde oxidase and xanthine dehydrogenase, molybdopterin binding;
ERR793600.49835	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1538 Membrane;
ERR793600.817798	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1538 Membrane;
ERR793600.49835	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1538 Membrane;
ERR793600.272788	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1538 Membrane;
ERR793600.817798	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1538 Membrane;
ERR793600.1057896	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG1544 sigma 54 modulation protein ribosomal protein S30ea;
ERR793600.253258	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1555 Competence protein;
ERR793600.218817	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1560 lipid a biosynthesis;
ERR793600.218817	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1560 lipid a biosynthesis;
ERR793600.56068	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1562 phytoene synthase;
ERR793600.56068	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1562 phytoene synthase;
ERR793600.1264892	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1589 Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic. May control correct divisome assembly (By similarity);
ERR793600.832989	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1595 RNA Polymerase;
ERR793600.578854	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1599 DNA replication;
ERR793600.633013	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG1605 Chorismate mutase;
ERR793600.633013	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG1605 Chorismate mutase;
ERR793600.645776	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1609 Transcriptional regulator;
ERR793600.276355	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG1612 Catalyzes the oxidation of the C8 methyl side group on heme O porphyrin ring into a formyl group (By similarity);
ERR793600.276355	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG1612 Catalyzes the oxidation of the C8 methyl side group on heme O porphyrin ring into a formyl group (By similarity);
ERR793600.665715	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1629 receptor;
ERR793600.936604	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1629 receptor;
ERR793600.1240396	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1629 receptor;
ERR793600.200172	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1629 receptor;
ERR793600.451150	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1629 receptor;
ERR793600.665715	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1629 receptor;
ERR793600.1510077	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG1640 4-alpha-glucanotransferase;
ERR793600.316782	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1643 helicase;
ERR793600.1061874	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1643 helicase;
ERR793600.1072557	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1643 helicase;
ERR793600.1294933	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1643 helicase;
ERR793600.71970	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1643 helicase;
ERR793600.316782	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1643 helicase;
ERR793600.1072557	eggNOG;informationStorageAndProcessing;[L] Replication, recombination and repair;COG1643 helicase;
ERR793600.56483	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG1653 transporter activity;
ERR793600.56483	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG1653 transporter activity;
ERR793600.1202351	eggNOG;cellularProcessesAndSignaling;[D] Cell cycle control, cell division, chromosome partitioning;COG1674 cell division protein FtsK;
ERR793600.1202627	eggNOG;cellularProcessesAndSignaling;[D] Cell cycle control, cell division, chromosome partitioning;COG1674 cell division protein FtsK;
ERR793600.1060163	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG1680 Beta-lactamase;
ERR793600.1101616	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG1680 Beta-lactamase;
ERR793600.1101616	eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG1680 Beta-lactamase;
ERR793600.1469506	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1695 Transcriptional regulator;
ERR793600.10850	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1737 Transcriptional regulator;
ERR793600.1225911	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG1748 saccharopine dehydrogenase;
ERR793600.671387	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG1764 Organic hydroperoxide resistance protein;
ERR793600.433596	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG1770 Oligopeptidase b;
ERR793600.167356	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1788 Key enzyme for ketone body catabolism. Transfers the CoA moiety from succinate to acetoacetate. Formation of the enzyme-CoA intermediate proceeds via an unstable anhydride species formed between the carboxylate groups of the enzyme and substrate (By similarity);
ERR793600.1171874	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1802 GntR Family Transcriptional Regulator;
ERR793600.1331582	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1802 GntR Family Transcriptional Regulator;
ERR793600.1171874	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1802 GntR Family Transcriptional Regulator;
ERR793600.1331582	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1802 GntR Family Transcriptional Regulator;
ERR793600.497117	eggNOG;metabolism;[C] Energy production and conversion;COG1804 l-carnitine dehydratase bile acid-inducible protein F;
ERR793600.370157	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG1816 adenosine deaminase;
ERR793600.1229773	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1846 Transcriptional regulator;
ERR793600.1229773	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1846 Transcriptional regulator;
ERR793600.787173	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1858 cytochrome C peroxidase;
ERR793600.787173	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG1858 cytochrome C peroxidase;
ERR793600.892954	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG1864 DNA RNA NON-specific endonuclease;
ERR793600.893489	eggNOG;metabolism;[F] Nucleotide transport and metabolism;COG1864 DNA RNA NON-specific endonuclease;
ERR793600.793860	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG1877 trehalose biosynthetic process;
ERR793600.599933	eggNOG;metabolism;[C] Energy production and conversion;COG1902 NADH flavin oxidoreductase, NADH oxidase;
ERR793600.599933	eggNOG;metabolism;[C] Energy production and conversion;COG1902 NADH flavin oxidoreductase, NADH oxidase;
ERR793600.1536233	eggNOG;metabolism;[G] Carbohydrate transport and metabolism;COG1940 ROK family;
ERR793600.309681	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1946 acyl-CoA thioesterase;
ERR793600.795594	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1960 acyl-CoA dehydrogenase;
ERR793600.795733	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1960 acyl-CoA dehydrogenase;
ERR793600.1363300	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1960 acyl-CoA dehydrogenase;
ERR793600.78589	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1960 acyl-CoA dehydrogenase;
ERR793600.593152	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1960 acyl-CoA dehydrogenase;
ERR793600.795594	eggNOG;metabolism;[I] Lipid transport and metabolism;COG1960 acyl-CoA dehydrogenase;
ERR793600.222890	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1974 Represses a number of genes involved in the response to DNA damage (SOS response), including recA and lexA. In the presence of single-stranded DNA, RecA interacts with LexA causing an autocatalytic cleavage which disrupts the DNA-binding part of LexA, leading to derepression of the SOS regulon and eventually DNA repair (By similarity);
ERR793600.883207	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1974 Represses a number of genes involved in the response to DNA damage (SOS response), including recA and lexA. In the presence of single-stranded DNA, RecA interacts with LexA causing an autocatalytic cleavage which disrupts the DNA-binding part of LexA, leading to derepression of the SOS regulon and eventually DNA repair (By similarity);
ERR793600.222890	eggNOG;informationStorageAndProcessing;[K] Transcription;COG1974 Represses a number of genes involved in the response to DNA damage (SOS response), including recA and lexA. In the presence of single-stranded DNA, RecA interacts with LexA causing an autocatalytic cleavage which disrupts the DNA-binding part of LexA, leading to derepression of the SOS regulon and eventually DNA repair (By similarity);
ERR793600.886900	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG1982 decarboxylase;
ERR793600.886900	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG1982 decarboxylase;
ERR793600.1472934	eggNOG;metabolism;[E] Amino acid transport and metabolism;COG2021 homoserine O-acetyltransferase;
ERR793600.1107646	eggNOG;informationStorageAndProcessing;[J] Translation, ribosomal structure and biogenesis;COG2051 40s ribosomal protein S27;
ERR793600.1319319	eggNOG;metabolism;[C] Energy production and conversion;COG2080 (2Fe-2S)-binding domain protein;
ERR793600.1319319	eggNOG;metabolism;[C] Energy production and conversion;COG2080 (2Fe-2S)-binding domain protein;
ERR793600.1226813	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG2089 synthase;
ERR793600.1226813	eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG2089 synthase;
ERR793600.124545	eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG2095 multiple antibiotic resistance (MarC)-related protein;
ERR793600.124545	eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG2095 multiple antibiotic resistance (MarC)-related protein;
ERR793600.125278	eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG2095 multiple antibiotic resistance (MarC)-related protein;
ERR793600.4609	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG2116 formate transmembrane transporter activity;
ERR793600.4609	eggNOG;metabolism;[P] Inorganic ion transport and metabolism;COG2116 formate transmembrane transporter activity;
ERR793600.492934	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG2124 Cytochrome p450;
ERR793600.780250	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG2124 Cytochrome p450;
ERR793600.1228643	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG2124 Cytochrome p450;
ERR793600.1241107	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG2124 Cytochrome p450;
ERR793600.1297397	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG2124 Cytochrome p450;
ERR793600.1416412	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG2124 Cytochrome p450;
ERR793600.1464158	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG2132 Multicopper oxidase;
ERR793600.1405486	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG2132 Multicopper oxidase;
ERR793600.1464158	eggNOG;metabolism;[Q] Secondary metabolites biosynthesis, transport and catabolism;COG2132 Multicopper oxidase;
ERR793600.855125	eggNOG;metabolism;[I] Lipid transport and metabolism;COG2185 Methylmalonyl-coA mutase;
ERR793600.855125	eggNOG;metabolism;[I] Lipid transport and metabolism;COG2185 Methylmalonyl-coA mutase;
ERR793600.437103	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG2201 protein-glutamate methylesterase activity;
ERR793600.437103	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG2201 protein-glutamate methylesterase activity;
ERR793600.42276	eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG2204 two component, sigma54 specific, transcriptional regulator, Fis family;
ERR793600.1137793	eggNOG;informationStorageAndProcessing;[K] Transcription;COG2207 Transcriptional Regulator AraC Family;
ERR793600.1137793	eggNOG;informationStorageAndProcessing;[K] Transcription;COG2207 Transcriptional Regulator AraC Family;
ERR793600.1200026	eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG2214 DNAj domain protein;
